Date,pcp CHIRPSc,pcp CHIRPS
"Jan 1, 1995",76.617,70.173
"Feb 1, 1995",72.745,64.384
"Mar 1, 1995",110.819,92.158
"Apr 1, 1995",54.455,41.701
"May 1, 1995",31.784,20.096
"Jun 1, 1995",13.798,13.256
"Jul 1, 1995",42.869,23.483
"Aug 1, 1995",26.142,21.533
"Sep 1, 1995",20.75,13.763
"Oct 1, 1995",42.065,26.933
"Nov 1, 1995",123.774,122.113
"Dec 1, 1995",87.457,82.638
"Jan 1, 1996",172.03,157.799
"Feb 1, 1996",120.658,106.061
"Mar 1, 1996",123.365,103.93
"Apr 1, 1996",90.413,68.92
"May 1, 1996",39.185,24.934
"Jun 1, 1996",23.233,22.86
"Jul 1, 1996",11.944,6.542
"Aug 1, 1996",33.735,27.555
"Sep 1, 1996",36.36,23.734
"Oct 1, 1996",134.537,86.032
"Nov 1, 1996",80.807,79.8
"Dec 1, 1996",176.28,166.721
"Jan 1, 1997",140.879,129.055
"Feb 1, 1997",178.132,156.707
"Mar 1, 1997",128.164,107.634
"Apr 1, 1997",35.458,27.245
"May 1, 1997",38.843,24.383
"Jun 1, 1997",40.017,39.001
"Jul 1, 1997",16.398,8.956
"Aug 1, 1997",23.984,19.711
"Sep 1, 1997",68.962,45.775
"Oct 1, 1997",53.483,34.244
"Nov 1, 1997",78.068,76.693
"Dec 1, 1997",69.49,65.944
"Jan 1, 1998",110.037,101.03
"Feb 1, 1998",256.477,224.583
"Mar 1, 1998",90.86,76.887
"Apr 1, 1998",76.923,58.776
"May 1, 1998",30.086,18.923
"Jun 1, 1998",22.968,22.671
"Jul 1, 1998",14.645,8.137
"Aug 1, 1998",30.698,25.506
"Sep 1, 1998",35.396,22.923
"Oct 1, 1998",32.62,20.884
"Nov 1, 1998",117.478,115.618
"Dec 1, 1998",78.794,74.917
"Jan 1, 1999",88.283,80.388
"Feb 1, 1999",87.978,76.895
"Mar 1, 1999",145.855,123.088
"Apr 1, 1999",25.541,19.495
"May 1, 1999",46.392,29.196
"Jun 1, 1999",28.693,27.412
"Jul 1, 1999",19.224,10.593
"Aug 1, 1999",10.913,9.135
"Sep 1, 1999",28.99,19.551
"Oct 1, 1999",52.921,33.96
"Nov 1, 1999",41.932,41.368
"Dec 1, 1999",126.629,119.08
"Jan 1, 2000",129.786,119.162
"Feb 1, 2000",108.927,95.536
"Mar 1, 2000",253.123,213.199
"Apr 1, 2000",64.045,48.876
"May 1, 2000",29.73,18.678
"Jun 1, 2000",24.144,23.445
"Jul 1, 2000",40.113,21.925
"Aug 1, 2000",31.567,25.94
"Sep 1, 2000",37.421,24.303
"Oct 1, 2000",123.906,79.236
"Nov 1, 2000",104.129,102.772
"Dec 1, 2000",213.111,202.654
"Jan 1, 2001",166.011,152.589
"Feb 1, 2001",160.721,141.718
"Mar 1, 2001",143.582,120.286
"Apr 1, 2001",154.244,117.84
"May 1, 2001",112.82,71.149
"Jun 1, 2001",24.993,24.141
"Jul 1, 2001",19.716,10.918
"Aug 1, 2001",46.821,38.58
"Sep 1, 2001",52.057,33.906
"Oct 1, 2001",122.917,78.383
"Nov 1, 2001",157.431,155.473
"Dec 1, 2001",98.828,94.119
"Jan 1, 2002",79.158,72.214
"Feb 1, 2002",320.684,281.483
"Mar 1, 2002",146.856,123.414
"Apr 1, 2002",112.952,86.418
"May 1, 2002",59.426,37.447
"Jun 1, 2002",32.76,31.755
"Jul 1, 2002",54.737,30.319
"Aug 1, 2002",16.494,13.462
"Sep 1, 2002",33.542,21.684
"Oct 1, 2002",59.313,37.991
"Nov 1, 2002",99.603,98.655
"Dec 1, 2002",122.79,115.846
"Jan 1, 2003",196.834,179.949
"Feb 1, 2003",177.162,155.734
"Mar 1, 2003",150.883,126.242
"Apr 1, 2003",60.523,46.31
"May 1, 2003",38.968,24.415
"Jun 1, 2003",33.1,31.821
"Jul 1, 2003",18.358,10.151
"Aug 1, 2003",25.502,20.915
"Sep 1, 2003",80.153,51.759
"Oct 1, 2003",65.08,41.582
"Nov 1, 2003",71.011,70.206
"Dec 1, 2003",163.651,154.65
"Jan 1, 2004",101.8,93.274
"Feb 1, 2004",104.281,92.57
"Mar 1, 2004",127.721,107.448
"Apr 1, 2004",70.746,54.051
"May 1, 2004",39.48,24.95
"Jun 1, 2004",36.592,35.121
"Jul 1, 2004",32.41,18.306
"Aug 1, 2004",14.831,12.394
"Sep 1, 2004",16.836,10.968
"Oct 1, 2004",128.879,82.352
"Nov 1, 2004",95.861,94.76
"Dec 1, 2004",141.689,134.108
"Jan 1, 2005",116.843,107.118
"Feb 1, 2005",102.301,89.969
"Mar 1, 2005",134.279,112.753
"Apr 1, 2005",66.959,51.312
"May 1, 2005",90.662,57.172
"Jun 1, 2005",23.059,22.331
"Jul 1, 2005",13.615,7.567
"Aug 1, 2005",45.594,36.452
"Sep 1, 2005",51.731,33.473
"Oct 1, 2005",191.799,122.791
"Nov 1, 2005",142.758,140.921
"Dec 1, 2005",111.088,104.659
"Jan 1, 2006",152.756,139.669
"Feb 1, 2006",149.433,131.47
"Mar 1, 2006",181.207,151.937
"Apr 1, 2006",71.084,54.314
"May 1, 2006",17.38,10.906
"Jun 1, 2006",51,48.874
"Jul 1, 2006",20.084,11.035
"Aug 1, 2006",21.667,17.715
"Sep 1, 2006",62.022,40.757
"Oct 1, 2006",71.84,46.012
"Nov 1, 2006",69.235,68.274
"Dec 1, 2006",181.234,170.702
"Jan 1, 2007",258.725,236.366
"Feb 1, 2007",195.656,171.528
"Mar 1, 2007",122.082,102.574
"Apr 1, 2007",79.248,60.589
"May 1, 2007",93.362,58.862
"Jun 1, 2007",21.226,20.768
"Jul 1, 2007",20.565,11.35
"Aug 1, 2007",20.151,16.656
"Sep 1, 2007",23.923,15.692
"Oct 1, 2007",73.611,47.055
"Nov 1, 2007",151.64,150.022
"Dec 1, 2007",175.561,165.959
"Jan 1, 2008",300.784,274.548
"Feb 1, 2008",139.68,122.886
"Mar 1, 2008",175.936,147.041
"Apr 1, 2008",105.636,80.82
"May 1, 2008",38.797,24.358
"Jun 1, 2008",18.418,17.906
"Jul 1, 2008",26.989,14.876
"Aug 1, 2008",56.858,47.084
"Sep 1, 2008",39.637,26.241
"Oct 1, 2008",125.451,80.317
"Nov 1, 2008",68.427,67.717
"Dec 1, 2008",143.377,136.113
"Jan 1, 2009",119.151,108.905
"Feb 1, 2009",141.633,124.927
"Mar 1, 2009",110.479,91.876
"Apr 1, 2009",39.076,29.955
"May 1, 2009",70.366,44.254
"Jun 1, 2009",17.464,17.069
"Jul 1, 2009",30.292,16.789
"Aug 1, 2009",26.077,21.444
"Sep 1, 2009",42.593,27.728
"Oct 1, 2009",73.47,47.031
"Nov 1, 2009",116.337,114.966
"Dec 1, 2009",103.774,97.759
"Jan 1, 2010",152.724,139.788
"Feb 1, 2010",208.967,184.496
"Mar 1, 2010",126.894,106.281
"Apr 1, 2010",44.133,33.738
"May 1, 2010",31.704,20.029
"Jun 1, 2010",13.71,13.457
"Jul 1, 2010",37.049,20.322
"Aug 1, 2010",20.068,16.761
"Sep 1, 2010",27.774,17.984
"Oct 1, 2010",51.117,32.69
"Nov 1, 2010",69.65,68.723
"Dec 1, 2010",101.5,96.671
"Jan 1, 2011",134.917,122.964
"Feb 1, 2011",182.63,160.682
"Mar 1, 2011",98.492,82.343
"Apr 1, 2011",40.657,31.085
"May 1, 2011",49.315,30.982
"Jun 1, 2011",22.758,22.012
"Jul 1, 2011",34.953,19.445
"Aug 1, 2011",17.096,14.028
"Sep 1, 2011",15.758,10.343
"Oct 1, 2011",77.942,49.875
"Nov 1, 2011",54.136,53.452
"Dec 1, 2011",111.46,105.725
"Jan 1, 2012",113.864,103.926
"Feb 1, 2012",186.637,163.836
"Mar 1, 2012",131.724,110.379
"Apr 1, 2012",111.836,85.464
"May 1, 2012",59.76,37.418
"Jun 1, 2012",30.742,29.617
"Jul 1, 2012",39.021,21.945
"Aug 1, 2012",18.739,15.287
"Sep 1, 2012",22.436,14.882
"Oct 1, 2012",26.507,16.948
"Nov 1, 2012",147.704,145.754
"Dec 1, 2012",112.193,107.085
"Jan 1, 2013",137.63,126.01
"Feb 1, 2013",86.175,75.75
"Mar 1, 2013",60.827,51.428
"Apr 1, 2013",65.386,49.893
"May 1, 2013",62.057,39.179
"Jun 1, 2013",21.44,20.775
"Jul 1, 2013",18.375,10.09
"Aug 1, 2013",26.602,21.736
"Sep 1, 2013",35.379,23.587
"Oct 1, 2013",108.867,69.654
"Nov 1, 2013",43.742,43.168
"Dec 1, 2013",115.001,109.071
"Jan 1, 2014",112.333,102.757
"Feb 1, 2014",148.741,130.737
"Mar 1, 2014",135.81,114.326
"Apr 1, 2014",93.033,71.06
"May 1, 2014",48.758,30.799
"Jun 1, 2014",17.009,16.381
"Jul 1, 2014",23.858,13.105
"Aug 1, 2014",15.972,13.002
"Sep 1, 2014",76.154,50.491
"Oct 1, 2014",40.821,26.256
"Nov 1, 2014",120.749,118.984
"Dec 1, 2014",84.858,80.768
"Jan 1, 2015",128.474,117.957
"Feb 1, 2015",180.859,158.749
"Mar 1, 2015",63.339,53.685
"Apr 1, 2015",33.425,25.672
"May 1, 2015",43.188,27.218
"Jun 1, 2015",20.132,19.532
"Jul 1, 2015",71.552,39.37
"Aug 1, 2015",19.471,15.703
"Sep 1, 2015",11.711,7.944
"Oct 1, 2015",36.402,23.271
"Nov 1, 2015",65.13,64.14
"Dec 1, 2015",95.649,91.155
"Jan 1, 2016",172.243,157.609
"Feb 1, 2016",82.053,72.681
"Mar 1, 2016",48.192,40.718
"Apr 1, 2016",50.059,38.389
"May 1, 2016",27.467,17.3
"Jun 1, 2016",22.784,22.56
"Jul 1, 2016",22.428,12.443
"Aug 1, 2016",32.116,26.31
"Sep 1, 2016",40.575,27.12
"Oct 1, 2016",49.396,31.653
"Nov 1, 2016",91.963,90.74
"Dec 1, 2016",80.177,76.858
"Jan 1, 2017",107.213,98.004
"Feb 1, 2017",174.116,152.558
"Mar 1, 2017",232.455,195.762
"Apr 1, 2017",62.889,48.14
"May 1, 2017",96.165,60.835
"Jun 1, 2017",15.495,15.375
"Jul 1, 2017",21.928,12.173
